zabbix_host,train,type,coach,ip,mac,serial,config,firmware
50_4030_MAR3-B1,4030,BOX,2,10.179.30.1,7C:70:BC:70:D9:D0,box1-t30.dostoneu-nv4.21net.com,2025.2.1 - d79f96d8 - _,6.1.0-31-amd64
50_4030_MAR3-B1,4030,SW,2,0.0.0.0,A0:59:3A:D0:43:E0,230543,unknown,unknown
50_4030_MAR3-B1,4030,SW,2,10.179.30.183,A0:59:3A:D0:46:E0,230567,nv4-G3-v8-005,7.4.2
50_4030_MAR3-B1,4030,SW,2,10.179.30.189,A0:59:3A:D0:42:40,230530,nv4-G2-v8-005,7.4.2
50_4030_MAR3-B1,4030,AP,3,,,,,
50_4030_MAR3-B1,4030,AP,3,,,,,
50_4030_MAR3-B1,4030,AP,3,,,,,
50_4030_MAR3-B1,4030,AP,3,,,,,
50_4030_MAR3-B1,4030,SW,3,,,,,
50_4030_MAR3-B1,4030,SW,3,,,,,
50_4030_MAR3-B1,4030,SW,3,10.179.30.184,A0:59:3A:D0:42:00,230528,nv4-E1-v8-005,7.4.2
50_4030_MAR3-B1,4030,AP,4,,,,,
50_4030_MAR3-B1,4030,AP,4,,,,,
50_4030_MAR3-B1,4030,AP,4,,,,,
50_4030_MAR3-B1,4030,AP,4,,,,,
50_4030_MAR3-B1,4030,SW,4,,,,,
50_4030_MAR3-B1,4030,SW,4,10.179.30.180,A0:59:3A:D0:6E:C0,240886,nv4-B3-v8-005,7.4.2
50_4030_MAR3-B1,4030,SW,4,10.179.30.182,A0:59:3A:D0:24:00,230288,nv4-B1-v8-005,7.4.2
50_4031_MAR3-B1,4031,AP,1,10.179.31.218,00:14:5A:04:47:62,3623-073001-1-05-00000552-2319,AP2-v1,6.11.2-0
50_4031_MAR3-B1,4031,AP,1,10.179.31.222,00:14:5A:04:41:74,3623-073001-1-05-00000467-2316,AP4-v1,6.11.2-0
50_4031_MAR3-B1,4031,AP,1,10.179.31.224,00:14:5A:04:47:9E,3623-073001-1-05-00000567-2319,AP3-v1,6.11.2-0
50_4031_MAR3-B1,4031,AP,1,10.179.31.230,00:14:5A:04:62:97,3623-073001-1-05-00000790-2341,AP1-v1,6.11.2-0
50_4031_MAR3-B1,4031,SW,1,10.179.31.179,A0:59:3A:D0:6A:60,240851,nv4-A3-v8-006,7.4.2
50_4031_MAR3-B1,4031,SW,1,10.179.31.180,A0:59:3A:D0:6B:20,240857,nv4-A1-v8-006,7.4.2
50_4031_MAR3-B1,4031,SW,1,10.179.31.189,A0:59:3A:D0:67:20,240825,nv4-A2-v8-006,7.4.2
50_4031_MAR3-B1,4031,AP,2,10.179.31.219,00:14:5A:04:62:A7,3623-073001-1-05-00000794-2341,AP4-v1,6.10.0-0
50_4031_MAR3-B1,4031,AP,2,10.179.31.220,00:14:5A:04:46:87,3623-073001-1-05-00000512-2319,AP3-v1,6.10.0-0
50_4031_MAR3-B1,4031,AP,2,10.179.31.231,00:14:5A:04:62:9B,3623-073001-1-05-00000791-2341,AP1-v1,6.11.2-0
50_4031_MAR3-B1,4031,AP,2,10.179.31.233,00:14:5A:04:46:BB,3623-073001-1-05-00000521-2319,AP2-v1,6.10.0-0
50_4031_MAR3-B1,4031,BOX,2,10.179.31.1,7C:70:BC:70:D9:AD,box1-t31.dostoneu-nv4.21net.com,2025.2.1 - b0d6e087 - _,6.1.0-31-amd64
50_4031_MAR3-B1,4031,SW,2,10.179.31.178,A0:59:3A:D0:2C:20,230353,nv4-G1-v8-006,7.4.2
50_4031_MAR3-B1,4031,SW,2,10.179.31.181,A0:59:3A:D0:2D:00,230360,nv4-G3-v8-006,7.4.2
50_4031_MAR3-B1,4031,SW,2,10.179.31.184,A0:59:3A:D0:49:40,230586,nv4-G2-v8-006,7.4.2
50_4031_MAR3-B1,4031,AP,3,10.179.31.223,00:14:5A:04:53:08,3623-073001-1-05-00000588-2326,AP4m-v1-00145a045308,6.10.0-0
50_4031_MAR3-B1,4031,AP,3,10.179.31.225,00:14:5A:04:46:83,3623-073001-1-05-00000511-2319,AP2m-v1-00145a044683,6.11.2-0
50_4031_MAR3-B1,4031,AP,3,10.179.31.227,00:14:5A:04:47:92,3623-073001-1-05-00000564-2319,AP3m-v1-00145a044792,6.10.0-0
50_4031_MAR3-B1,4031,AP,3,10.179.31.228,00:14:5A:04:62:C3,3623-073001-1-05-00000801-2341,AP1m-v1-00145a0462c3,6.10.0-0
50_4031_MAR3-B1,4031,SW,3,10.179.31.182,A0:59:3A:D0:6D:40,240874,nv4-E3-v8-006,7.4.2
50_4031_MAR3-B1,4031,SW,3,10.179.31.187,A0:59:3A:D0:44:C0,230550,nv4-E1-v8-006,7.4.2
50_4031_MAR3-B1,4031,SW,3,10.179.31.188,A0:59:3A:D0:6E:E0,240887,nv4-E2-v8-006,7.4.2
50_4031_MAR3-B1,4031,AP,4,10.179.31.221,00:14:5A:04:58:73,3623-073001-1-05-00000670-2333,AP4m-v1-00145a045873,6.11.2-0
50_4031_MAR3-B1,4031,AP,4,10.179.31.226,00:14:5A:04:63:2B,3623-073001-1-05-00000823-2341,AP3m-v1-00145a04632b,6.11.2-0
50_4031_MAR3-B1,4031,AP,4,10.179.31.229,00:14:5A:04:62:CF,3623-073001-1-05-00000804-2341,AP2m-v1-00145a0462cf,6.11.2-0
50_4031_MAR3-B1,4031,AP,4,10.179.31.232,00:14:5A:04:40:86,3623-073001-1-05-00000438-2314,AP1m-v1-00145a044086,6.11.2-0
50_4031_MAR3-B1,4031,SW,4,10.179.31.183,A0:59:3A:D0:59:C0,240718,nv4-B2-v8-006,7.4.2
50_4031_MAR3-B1,4031,SW,4,10.179.31.185,A0:59:3A:D0:6D:E0,240879,nv4-B3-v8-006,7.4.2
50_4031_MAR3-B1,4031,SW,4,10.179.31.186,A0:59:3A:D0:6E:A0,240885,nv4-B1-v8-006,7.4.2
50_4035_MAR3-B1,4035,AP,1,10.179.35.15,,ap1-train-4035,,
50_4035_MAR3-B1,4035,AP,1,10.179.35.16,,ap2-train-4035,,
50_4035_MAR3-B1,4035,AP,1,10.179.35.17,,ap3-train-4035,,
50_4035_MAR3-B1,4035,AP,1,10.179.35.18,,ap4-train-4035,,
50_4035_MAR3-B1,4035,SW,1,10.179.35.11,,sw1-train-4035,,
50_4035_MAR3-B1,4035,SW,1,10.179.35.12,,sw2-train-4035,,
50_4035_MAR3-B1,4035,SW,1,10.179.35.13,,sw3-train-4035,,
50_4035_MAR3-B1,4035,AP,2,10.179.35.35,,ap1-train-4035,,
50_4035_MAR3-B1,4035,AP,2,10.179.35.36,,ap2-train-4035,,
50_4035_MAR3-B1,4035,AP,2,10.179.35.37,,ap3-train-4035,,
50_4035_MAR3-B1,4035,AP,2,10.179.35.38,,ap4-train-4035,,
50_4035_MAR3-B1,4035,BOX,2,10.179.35.1,,box1-train-4035,,
50_4035_MAR3-B1,4035,SW,2,10.179.35.31,,sw1-train-4035,,
50_4035_MAR3-B1,4035,SW,2,10.179.35.32,,sw2-train-4035,,
50_4035_MAR3-B1,4035,SW,2,10.179.35.33,,sw3-train-4035,,
50_4035_MAR3-B1,4035,AP,3,10.179.35.45,,ap1-train-4035,,
50_4035_MAR3-B1,4035,AP,3,10.179.35.46,,ap2-train-4035,,
50_4035_MAR3-B1,4035,AP,3,10.179.35.47,,ap3-train-4035,,
50_4035_MAR3-B1,4035,AP,3,10.179.35.48,,ap4-train-4035,,
50_4035_MAR3-B1,4035,SW,3,10.179.35.41,,sw1-train-4035,,
50_4035_MAR3-B1,4035,SW,3,10.179.35.42,,sw2-train-4035,,
50_4035_MAR3-B1,4035,SW,3,10.179.35.43,,sw3-train-4035,,
